root,group,prob,fold,eax.par10,eax.par10.log1p,eax.pqr10,eax.pqr10.log1p,lkh.par10,lkh.par10.log1p,lkh.pqr10,lkh.pqr10.log1p,concorde.par10,concorde.par10.log1p,concorde.pqr10,concorde.pqr10.log1p
ecj2018,netgen,1000-10-14.tsp,10,3.251200000000003,1.4472012960234126,3.1025000000000054,1.4115965439821103,6.7650999999999994,2.04963933481779,4.6945,1.7395007967322687,44.7898,3.8240613588935775,46.326499999999996,3.8570703923141654
ecj2018,netgen,1000-10-15.tsp,7,3.5132999999999965,1.5070285932643732,3.465,1.4962692143284624,2.345499999999997,1.2076161592407337,1.7745,1.0204705507838188,25.34609999999965,3.271320256443021,23.928999999998247,3.216031784416395
ecj2018,netgen,1000-10-16.tsp,7,4.139000000000001,1.6368585080100928,3.8875,1.5866809253114842,2.271500000000004,1.1852485953276577,1.73,1.0043016091968684,36.5602,3.625944979139517,36.057,3.612457267769484
ecj2018,netgen,1000-10-17.tsp,8,3.4027000000000007,1.4822179890900449,3.347,1.469485952006655,61.41509999999998,4.133807233280694,40.85399999999995,3.734187371818477,33.27450000000001,3.5344016374499243,31.71950000000005,3.4879712304441957
ecj2018,netgen,1000-10-18.tsp,4,5.792599999999982,1.915833784329979,3.8925,1.5877034202880942,12.738800000000001,2.62022394673563,7.0670000000000055,2.087781665954838,51.025000000000006,3.951724372279698,48.57599999999995,3.9035068456598054
ecj2018,netgen,1000-10-19.tsp,9,4.2465,1.6575611876158287,3.5115,1.5066296924524183,22.8034,3.169828427617176,5.591,1.885705082070583,24.5621,3.24111078575883,21.7605,3.125026577382383
ecj2018,netgen,1000-10-2.tsp,3,4.0129,1.6120145899475502,3.3035,1.4594286451073921,12.542799999999982,2.605855040787477,4.77899999999999,1.7542306573356392,20.983200000000043,3.0902785252759126,21.450499999999998,3.1113128856551744
ecj2018,netgen,1000-10-20.tsp,7,2.9865000000000004,1.3829136529604131,2.9290000000000003,1.3683849405763229,2.541699999999998,1.2646068378627857,2.0045,1.1001111647918456,16.71570000000003,2.8744512520724625,16.10149999999995,2.8391661789597444
ecj2018,netgen,1000-10-21.tsp,1,3.4669,1.4966946557303271,3.5549999999999997,1.5162255307119217,5.831799999999999,1.9215881820530927,4.4505,1.695707347586276,62.975900000000046,4.158506449942211,55.5175,4.034550324707838
ecj2018,netgen,1000-10-22.tsp,3,4.895199999999998,1.7741384604706523,3.6515000000000004,1.5371897482264765,487.2419999999999,6.190811184573908,278.9675,5.634673525003868,42.87730000000003,3.7813971020644854,41.215,3.7427756081214634
ecj2018,netgen,1000-10-23.tsp,7,3.8262000000000063,1.574059408532285,3.6105000000000347,1.5283363109970665,5.4633,1.8661400232755758,6.195,1.9733863403393312,9.906999999999998,2.389404784946606,9.9585,2.3941154108396367
ecj2018,netgen,1000-10-24.tsp,1,3.6049999999999995,1.52714266970727,3.6875,1.5448993912965292,3.093999999999999,1.4095224872390977,2.7875,1.3317061708354876,11.39440000000002,2.5172447576999466,10.73,2.462149662665384
ecj2018,netgen,1000-10-25.tsp,10,3.696499999999996,1.5468175504524322,3.561,1.5175418977295634,9.0077,2.3033547966961354,9.2615,2.3283990278870252,29.684199999999983,3.4237478641308194,29.221,3.4085370469655407
ecj2018,netgen,1000-10-26.tsp,3,3.1005000000000065,1.4111089174943303,2.997,1.3855440797291865,4.991699999999992,1.790375178205861,3.989,1.6072354888789002,17.44259999999999,2.91466320601999,16.8525,2.882143554441128
ecj2018,netgen,1000-10-27.tsp,8,3.7384999999999997,1.5557206299281126,3.708,1.5492631893980304,26.911099999999994,3.329024459168573,25.771,3.2873192120829837,45.09110000000002,3.830619872796069,43.284,3.7906234379972203
ecj2018,netgen,1000-10-28.tsp,2,3.6573,1.5384358810793775,3.7675,1.5618220584924372,21.1419,3.0974717411232198,14.7745,2.758394712203879,65.06540000000003,4.190645160491005,65.44999999999999,4.196449785159254
ecj2018,netgen,1000-10-29.tsp,4,3.6632000000000033,1.5397019077492038,3.268000000000005,1.4511453334395081,2.264299999999999,1.1830453446429388,2.0135,1.1031021939409618,18.040700000000008,2.946578793393297,17.104,2.896132908331236
ecj2018,netgen,1000-10-3.tsp,9,3.2935000000000008,1.4571022511304026,3.3025,1.4591962491035575,876.7417000000002,6.777352359008391,395.49,5.982650820075897,18.77619999999999,2.9844791944927493,17.435000000000002,2.914251031686108
ecj2018,netgen,1000-10-30.tsp,7,4.589800000000019,1.720943508351644,3.2664999999999997,1.4507938189945024,1.926800000000003,1.0739096760277387,1.585,0.9497255079603925,13.98369999999998,2.7069629435852427,13.513,2.6750447994882256
ecj2018,netgen,1000-10-31.tsp,3,3.243299999999999,1.4453412684108067,3.0305,1.3938904377415184,21.301500000000004,3.1046539407779044,11.4515,2.521841097581063,10.964700000000011,2.481960647916039,11.138,2.4963410274136635
ecj2018,netgen,1000-10-32.tsp,6,3.495199999999999,1.503010160815851,3.592,1.5243156590172655,3.63779999999998,1.5342401158681938,3.3315,1.465913902348058,14.479800000000001,2.739535948181478,13.8705,2.699379384654579
ecj2018,netgen,1000-10-33.tsp,10,3.264699999999994,1.4503718384931155,3.076999999999995,1.405361423837115,7.9151,2.187746468302109,3.5395000000000003,1.512816873829675,30.62949999999999,3.4540902294151863,30.8685,3.4616180611151326
ecj2018,netgen,1000-10-34.tsp,9,3.4681000000000006,1.496963262335188,3.3245,1.4642965267644297,7.548100000000005,2.145709036031431,5.02600000000003,1.7960834407081145,44.52150000000002,3.818184741823483,42.4435,3.7714612432824133
ecj2018,netgen,1000-10-35.tsp,7,3.3541,1.4711179299349206,3.262,1.4497385336764255,6.733499999999974,2.045561541496054,5.1265,1.8126236244073641,24.3352,3.2321947331142,20.572499999999998,3.0714193554003253
ecj2018,netgen,1000-10-36.tsp,8,3.7403999999999678,1.5561215203321497,3.3115,1.4612858714102421,4.969499999999998,1.7866631718033057,5.24499999999999,1.8317811435775395,18.781899999999965,2.984767378204274,18.0805,2.9486668711275175
ecj2018,netgen,1000-10-37.tsp,2,5.234500000000001,1.830098383454504,3.502,1.5045217424845405,12.525899999999996,2.6046063659567062,6.07800000000001,1.9569913819232732,30.091799999999978,3.4369441188244485,28.454500000000003,3.3828466997828914
ecj2018,netgen,1000-10-38.tsp,4,3.3142000000000005,1.4619119075784794,3.2995,1.4584987368688143,3.9525999999999994,1.5999126912090287,1.776,1.021011042644558,100.6788,4.621818825080637,103.714,4.651232824314655
ecj2018,netgen,1000-10-39.tsp,7,3.5378999999999996,1.5124643499755823,3.248,1.4464482839396378,69.40360000000001,4.254244398220214,59.1105,4.096184535099989,14.784200000000002,2.7590094396993377,14.120999999999999,2.716084506130532
ecj2018,netgen,1000-10-4.tsp,8,3.400500000000001,1.4817181708317295,3.433,1.4890765557629164,11.824300000000004,2.551341808670556,7.3065,2.1170383408443962,16.216799999999992,2.845885651301238,15.1205,2.780091753967181
ecj2018,netgen,1000-10-40.tsp,5,6.5844,2.0260935061779115,5.3555,1.8493205797525867,301.1083,5.7107855623614565,225.564,5.423027465716732,24.17490000000001,3.2258474664020995,23.689999999999998,3.206398303357088
ecj2018,netgen,1000-10-41.tsp,9,3.6620999999999997,1.539465990404967,3.58,1.5216989981260935,8.801300000000001,2.2825150299401114,7.9094999999999995,2.1871181231853325,32.16030000000001,3.501353377270802,31.6655,3.486319475078978
ecj2018,netgen,1000-10-42.tsp,3,3.610299999999996,1.5282929308131192,3.55349999999999,1.515896168025734,4.829800000000032,1.7629826944566414,4.1270000000000095,1.6345206928015654,16.421900000000008,2.8577280355110966,15.23800000000005,2.787354174440258
ecj2018,netgen,1000-10-43.tsp,1,3.3777999999999992,1.476546315096917,3.526999999999995,1.5100594684538204,2.3943000000000003,1.222097554184483,2.00100000000001,1.0989455664582335,13.405200000000011,2.667589252508142,13.476500000000001,2.6725266450331633
ecj2018,netgen,1000-10-44.tsp,8,8.65,2.2669579153508947,4.817500000000001,1.76087061619431,6.597700000000001,2.0278455699111606,6.7010000000000005,2.041350190557113,89.94889999999995,4.510297810333542,78.9195,4.381019878064471
ecj2018,netgen,1000-10-45.tsp,3,3.304300000000004,1.4596145230326012,3.139,1.4204542127665951,5.3362,1.8462792196705056,5.7195,1.9050137470049817,30.03249999999999,3.4350350424079656,28.1595,3.3727807602170436
ecj2018,netgen,1000-10-46.tsp,2,4.3857,1.68374729287524,3.4585,1.4948123865927971,15.108199999999997,2.7793284591028398,6.9115,2.0683173971769007,13.284600000000111,2.6591820338906276,12.635000000000002,2.612640016297552
ecj2018,netgen,1000-10-47.tsp,5,3.3367999999999993,1.4671367489639913,3.4165,1.4853475272030499,108.4493,4.695461428333984,57.7425,4.073163485300623,15.137300000000042,2.7811333626025476,14.33850000000005,2.730366007585628
ecj2018,netgen,1000-10-48.tsp,10,3.301200000000025,1.4588940535342398,3.0235000000000003,1.3921521706040505,22.2409,3.1459136575677724,11.3995,2.517656149217369,14.662399999999987,2.751262935525028,13.1485,2.6496086114029627
ecj2018,netgen,1000-10-49.tsp,8,4.1156,1.6322946945770278,3.3335,1.4663755295922625,70.88159999999998,4.275020320988713,39.304500000000004,3.6964631252498585,29.236699999999967,3.4090564183724217,26.5594999999999,3.3163473037457587
ecj2018,netgen,1000-10-5.tsp,1,2.927,1.3678757755958726,2.9015,1.3613610945746788,5.237000000000002,1.8304992975439858,3.23150000000001,1.4425565401280258,12.89440000000001,2.631485881261782,12.533,2.6051311470943683
ecj2018,netgen,1000-10-50.tsp,3,3.7993000000000037,1.5684700739457982,3.465000000000015,1.4962692143284657,63.7137,4.169972925614135,38.4705,3.6755535574435183,10.311199999999964,2.4257933852954907,10.258,2.4210789870418346
ecj2018,netgen,1000-10-6.tsp,5,3.3876,1.478782380555042,3.2935,1.4571022511304024,5.134700000000029,1.8139611772117463,4.54800000000001,1.713437502452587,27.86940000000002,3.3627822106393426,27.194000000000003,3.3391091893487337
ecj2018,netgen,1000-10-7.tsp,3,3.299499999999999,1.458498736868814,3.1254999999999953,1.4171872245622597,253.09599999999995,5.537712148368291,181.8095,5.2084446270351155,26.617799999999978,3.3184604923829437,25.029,3.2592113010576034
ecj2018,netgen,1000-10-8.tsp,5,3.207799999999998,1.4369399457887821,3.2085,1.4371062896694937,1.1405999999999998,0.7610861635681382,0.9295,0.6572609019955364,12.764499999999972,2.622092813924665,12.6445,2.613336510029771
ecj2018,netgen,1000-10-9.tsp,4,3.6298000000000004,1.5325136706208686,3.739,1.5558261429854512,48.720699999999994,3.9064213453849166,20.794,3.081634702554694,27.357999999999993,3.344909177315366,27.084000000000003,3.3352000191550024
ecj2018,netgen,1000-2-1.tsp,10,11.0185,2.4864471293065793,9.4925,2.350660716225609,6.493099999999996,2.0139825970825225,5.633499999999975,1.8921325683748307,92.262,4.535412736571628,91.515,4.527370793533679
ecj2018,netgen,1000-2-10.tsp,2,3.4308000000000005,1.4885801546606408,3.359,1.4722426732562555,268.8198,5.5977543287754985,232.014,5.451098537597529,556.5889,6.323621952504987,537.2255,6.288277617326477
ecj2018,netgen,1000-2-11.tsp,10,5.0802,1.8050375901738978,3.3905,1.479443115817913,5.736499999999999,1.9075405022137653,3.6390000000000002,1.5344988257696066,19.38120000000005,3.0146129073172814,19.730500000000248,3.031606045790208
ecj2018,netgen,1000-2-12.tsp,2,5.662300000000002,1.896464770279665,4.394,1.6852872247175383,14.648900000000001,2.7504006269759413,9.4635,2.3478930106985874,88.1523,4.490346143191162,86.191,4.468101114579137
ecj2018,netgen,1000-2-13.tsp,1,7.263099999999999,2.1117998197878958,4.553499999999994,1.7144283596250367,60.086299999999994,4.112287618449982,38.7675,3.6830499957903786,235.57450000000003,5.4662631688974,233.697,5.458295320500039
ecj2018,netgen,1000-2-14.tsp,10,3.941900000000003,1.5977498726389099,3.634000000000005,1.5334204260101856,2.768800000000001,1.3267566484036946,3.0300000000000002,1.3937663759585917,24.80000000000001,3.2503744919275723,22.7765,3.16869769792392
ecj2018,netgen,1000-2-15.tsp,5,5.5718000000000005,1.8827877675756188,3.793,1.5671565201774942,8.961899999999998,2.2987678164557583,5.346500000000001,1.847903479846095,19.840100000000017,3.0368790153381457,17.708000000000048,2.9289512398636424
ecj2018,netgen,1000-2-16.tsp,4,4.4194999999999975,1.6900035602736672,3.9924999999999953,1.6079367863078322,1.5883000000000012,0.9510012895495508,1.3210000000000002,0.8419981272923001,5.896799999999997,1.9310575359135778,5.680999999999955,1.8992676769433334
ecj2018,netgen,1000-2-17.tsp,5,4.656600000000003,1.732823005004746,3.9605,1.60150654210782,65.36710000000001,4.195201451762944,55.400999999999996,4.032486888843284,133.43300000000002,4.901065933664375,127.4235,4.855333396316267
ecj2018,netgen,1000-2-18.tsp,5,5.03450000000001,1.7974930010758172,3.917,1.5926985884298024,8.903199999999993,2.2928579372354627,7.7585,2.1700246574095647,22.6304,3.1625340186899087,22.8155,3.170336629203539
ecj2018,netgen,1000-2-19.tsp,5,13.48090000000001,2.6728305397221805,10.045,2.4019778368720806,36.9798,3.637054439440838,23.287,3.1899412277700843,270.26660000000004,5.603102101138821,259.1485,5.561252621815403
ecj2018,netgen,1000-2-2.tsp,7,4.1013,1.6294954092090794,3.636,1.5338519254775054,136.3487,4.922522947625723,90.109,4.512056591921927,382.2898,5.948791361022777,376.431,5.9333877705255595
ecj2018,netgen,1000-2-20.tsp,7,3.407200000000001,1.48323956717637,3.509,1.5060753994389473,9.364400000000012,2.338376857092104,7.1015,2.0920492297189184,35.87640000000002,3.607571780040985,33.9745,3.554619224523696
ecj2018,netgen,1000-2-21.tsp,2,4.146200000000001,1.638258578242294,3.755499999999995,1.559301842940302,2.0301,1.1085956222770108,2.1955,1.1617435701081995,41.5003,3.749511134728987,41.658500000000004,3.7532265506809934
ecj2018,netgen,1000-2-22.tsp,10,5.494999999999999,1.8710326501225627,4.661,1.7336005550545228,25460.6629,10.144929184196899,36000.0,10.491301994830229,69.7957,4.259798264391985,63.343500000000006,4.164235918839262
